"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","New Brunswick","2016A000213","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973793","5.119","-4346","","","","0"
"2018","New Brunswick","2016A000213","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973793","5.119","-4403","","","","0"
"2019","New Brunswick","2016A000213","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973793","5.119","-3800","","","","0"
"2020","New Brunswick","2016A000213","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973793","5.119","-3735","","","","0"
"2016","Quebec","2016A000224","Total, industries and households","Kilotonnes","198","units","0","v1013973802","6.1","88673","","","","0"
"2017","Quebec","2016A000224","Total, industries and households","Kilotonnes","198","units","0","v1013973802","6.1","90652","","","","0"
"2018","Quebec","2016A000224","Total, industries and households","Kilotonnes","198","units","0","v1013973802","6.1","91471","","","","0"
"2019","Quebec","2016A000224","Total, industries and households","Kilotonnes","198","units","0","v1013973802","6.1","92741","","","","0"
"2020","Quebec","2016A000224","Total, industries and households","Kilotonnes","198","units","0","v1013973802","6.1","81594","","","","0"
"2016","Quebec","2016A000224","Total, industries","Kilotonnes","198","units","0","v1013973803","6.2","62659","","","","0"
"2017","Quebec","2016A000224","Total, industries","Kilotonnes","198","units","0","v1013973803","6.2","64400","","","","0"
"2018","Quebec","2016A000224","Total, industries","Kilotonnes","198","units","0","v1013973803","6.2","65183","","","","0"
"2019","Quebec","2016A000224","Total, industries","Kilotonnes","198","units","0","v1013973803","6.2","66242","","","","0"
"2020","Quebec","2016A000224","Total, industries","Kilotonnes","198","units","0","v1013973803","6.2","58408","","","","0"
"2016","Quebec","2016A000224","Total, households","Kilotonnes","198","units","0","v1013973914","6.115","26014","","","","0"
"2017","Quebec","2016A000224","Total, households","Kilotonnes","198","units","0","v1013973914","6.115","26252","","","","0"
"2018","Quebec","2016A000224","Total, households","Kilotonnes","198","units","0","v1013973914","6.115","26289","","","","0"
"2019","Quebec","2016A000224","Total, households","Kilotonnes","198","units","0","v1013973914","6.115","26500","","","","0"
"2020","Quebec","2016A000224","Total, households","Kilotonnes","198","units","0","v1013973914","6.115","23186","","","","0"
"2016","Quebec","2016A000224","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973917","6.118","78147","","","","0"
"2017","Quebec","2016A000224","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973917","6.118","80254","","","","0"
"2018","Quebec","2016A000224","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973917","6.118","81826","","","","0"
"2019","Quebec","2016A000224","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973917","6.118","83590","","","","0"
"2020","Quebec","2016A000224","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973917","6.118","76241","","","","0"
"2016","Quebec","2016A000224","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973918","6.119","-10526","","","","0"
"2017","Quebec","2016A000224","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973918","6.119","-10398","","","","0"
"2018","Quebec","2016A000224","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973918","6.119","-9646","","","","0"
"2019","Quebec","2016A000224","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973918","6.119","-9152","","","","0"
"2020","Quebec","2016A000224","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973918","6.119","-5353","","","","0"
"2016","Ontario","2016A000235","Total, industries and households","Kilotonnes","198","units","0","v1013973927","7.1","166417","","","","0"
"2017","Ontario","2016A000235","Total, industries and households","Kilotonnes","198","units","0","v1013973927","7.1","164631","","","","0"
"2018","Ontario","2016A000235","Total, industries and households","Kilotonnes","198","units","0","v1013973927","7.1","172201","","","","0"
"2019","Ontario","2016A000235","Total, industries and households","Kilotonnes","198","units","0","v1013973927","7.1","170096","","","","0"
"2020","Ontario","2016A000235","Total, industries and households","Kilotonnes","198","units","0","v1013973927","7.1","150085","","","","0"
"2016","Ontario","2016A000235","Total, industries","Kilotonnes","198","units","0","v1013973928","7.2","117005","","","","0"
"2017","Ontario","2016A000235","Total, industries","Kilotonnes","198","units","0","v1013973928","7.2","113712","","","","0"
"2018","Ontario","2016A000235","Total, industries","Kilotonnes","198","units","0","v1013973928","7.2","117359","","","","0"
"2019","Ontario","2016A000235","Total, industries","Kilotonnes","198","units","0","v1013973928","7.2","117923","","","","0"
"2020","Ontario","2016A000235","Total, industries","Kilotonnes","198","units","0","v1013973928","7.2","105599","","","","0"
"2016","Ontario","2016A000235","Total, households","Kilotonnes","198","units","0","v1013974039","7.115","49411","","","","0"
"2017","Ontario","2016A000235","Total, households","Kilotonnes","198","units","0","v1013974039","7.115","50919","","","","0"
"2018","Ontario","2016A000235","Total, households","Kilotonnes","198","units","0","v1013974039","7.115","54841","","","","0"
"2019","Ontario","2016A000235","Total, households","Kilotonnes","198","units","0","v1013974039","7.115","52173","","","","0"
"2020","Ontario","2016A000235","Total, households","Kilotonnes","198","units","0","v1013974039","7.115","44486","","","","0"
"2016","Ontario","2016A000235","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974042","7.118","162394","","","","0"
"2017","Ontario","2016A000235","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974042","7.118","158945","","","","0"
"2018","Ontario","2016A000235","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974042","7.118","167268","","","","0"
"2019","Ontario","2016A000235","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974042","7.118","165514","","","","0"
"2020","Ontario","2016A000235","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974042","7.118","149585","","","","0"
"2016","Ontario","2016A000235","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974043","7.119","-4022","","","","0"
"2017","Ontario","2016A000235","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974043","7.119","-5686","","","","0"
"2018","Ontario","2016A000235","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974043","7.119","-4932","","","","0"
"2019","Ontario","2016A000235","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974043","7.119","-4582","","","","0"
"2020","Ontario","2016A000235","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974043","7.119","-500","","","","0"
"2016","Manitoba","2016A000246","Total, industries and households","Kilotonnes","198","units","0","v1013974052","8.1","21188","","","","0"
"2017","Manitoba","2016A000246","Total, industries and households","Kilotonnes","198","units","0","v1013974052","8.1","21697","","","","0"
"2018","Manitoba","2016A000246","Total, industries and households","Kilotonnes","198","units","0","v1013974052","8.1","22539","","","","0"
"2019","Manitoba","2016A000246","Total, industries and households","Kilotonnes","198","units","0","v1013974052","8.1","22349","","","","0"
"2020","Manitoba","2016A000246","Total, industries and households","Kilotonnes","198","units","0","v1013974052","8.1","21271","","","","0"
"2016","Manitoba","2016A000246","Total, industries","Kilotonnes","198","units","0","v1013974053","8.2","16989","","","","0"
"2017","Manitoba","2016A000246","Total, industries","Kilotonnes","198","units","0","v1013974053","8.2","17463","","","","0"
"2018","Manitoba","2016A000246","Total, industries","Kilotonnes","198","units","0","v1013974053","8.2","17822","","","","0"
"2019","Manitoba","2016A000246","Total, industries","Kilotonnes","198","units","0","v1013974053","8.2","17587","","","","0"
"2020","Manitoba","2016A000246","Total, industries","Kilotonnes","198","units","0","v1013974053","8.2","16893","","","","0"
"2016","Manitoba","2016A000246","Total, households","Kilotonnes","198","units","0","v1013974164","8.115","4200","","","","0"
"2017","Manitoba","2016A000246","Total, households","Kilotonnes","198","units","0","v1013974164","8.115","4234","","","","0"
"2018","Manitoba","2016A000246","Total, households","Kilotonnes","198","units","0","v1013974164","8.115","4717","","","","0"
"2019","Manitoba","2016A000246","Total, households","Kilotonnes","198","units","0","v1013974164","8.115","4761","","","","0"
"2020","Manitoba","2016A000246","Total, households","Kilotonnes","198","units","0","v1013974164","8.115","4378","","","","0"
"2016","Manitoba","2016A000246","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974167","8.118","21296","","","","0"
"2017","Manitoba","2016A000246","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974167","8.118","21809","","","","0"
"2018","Manitoba","2016A000246","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974167","8.118","22573","","","","0"
"2019","Manitoba","2016A000246","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974167","8.118","22264","","","","0"
"2020","Manitoba","2016A000246","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974167","8.118","21674","","","","0"
"2016","Manitoba","2016A000246","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974168","8.119","108","","","","0"
